Episode,Score,Win %,Eps History
1,5,1.0,1.0
2,7,1.0,0.99985
3,-6,0.6666666666666666,0.9998
4,3,0.75,0.9997
5,-7,0.6,0.99965
6,11,0.6666666666666666,0.99955
7,-3,0.5714285714285714,0.9994500000000001
8,7,0.625,0.9993500000000001
9,-6,0.5555555555555556,0.9993000000000001
10,-9,0.5,0.9992000000000001
11,11,0.5454545454545454,0.9991000000000001
12,-1,0.5,0.9990000000000001
13,3,0.5384615384615384,0.9989500000000001
14,4,0.5714285714285714,0.9989000000000001
15,3,0.6,0.9988500000000001
16,6,0.625,0.9987500000000001
17,-1,0.5882352941176471,0.9985500000000002
18,9,0.6111111111111112,0.9984000000000002
19,-3,0.5789473684210527,0.9983000000000002
20,-3,0.55,0.9982000000000002
21,1,0.5714285714285714,0.9981000000000002
22,1,0.5909090909090909,0.9980000000000002
23,-7,0.5652173913043478,0.9979000000000002
24,7,0.5833333333333334,0.9977000000000003
25,7,0.6,0.9976000000000003
26,7,0.6153846153846154,0.9975000000000003
27,5,0.6296296296296297,0.9974500000000003
28,7,0.6428571428571429,0.9973500000000003
29,-3,0.6206896551724138,0.9972500000000003
30,4,0.6333333333333333,0.9971500000000003
31,-7,0.6129032258064516,0.9971000000000003
32,1,0.625,0.9970000000000003
33,-3,0.6060606060606061,0.9969000000000003
34,4,0.6176470588235294,0.9968500000000003
35,6,0.6285714285714286,0.9967500000000004
36,-1,0.6111111111111112,0.9966000000000004
37,5,0.6216216216216216,0.9965000000000004
38,-7,0.6052631578947368,0.9964000000000004
39,6,0.6153846153846154,0.9963500000000004
40,-5,0.6,0.9963000000000004
41,-8,0.5853658536585366,0.9961500000000004
42,-3,0.5714285714285714,0.9960500000000004
43,1,0.5813953488372093,0.9959500000000004
44,9,0.5909090909090909,0.9958500000000005
45,8,0.6,0.9958000000000005
46,-3,0.5869565217391305,0.9957000000000005
47,-3,0.574468085106383,0.9955500000000005
48,-5,0.5625,0.9954500000000005
49,1,0.5714285714285714,0.9953500000000005
50,-5,0.56,0.9953000000000005
51,6,0.5686274509803921,0.9952500000000005
52,3,0.5769230769230769,0.9951500000000005
53,3,0.5849056603773585,0.9950500000000005
54,7,0.5925925925925926,0.9949500000000006
55,-5,0.5818181818181818,0.9949000000000006
56,-5,0.5714285714285714,0.9948500000000006
57,-3,0.5614035087719298,0.9947500000000006
58,3,0.5689655172413793,0.9946500000000006
59,-3,0.559322033898305,0.9946000000000006
60,11,0.5666666666666667,0.9944500000000006
61,-13,0.5573770491803278,0.9943000000000006
62,11,0.5645161290322581,0.9941500000000006
63,-3,0.5555555555555556,0.9941000000000006
64,3,0.5625,0.9940000000000007
65,-3,0.5538461538461539,0.9939500000000007
66,-5,0.5454545454545454,0.9938500000000007
67,3,0.5522388059701493,0.9937500000000007
68,1,0.5588235294117647,0.9936000000000007
69,-9,0.5507246376811594,0.9935000000000007
70,-1,0.5428571428571428,0.9934000000000007
71,-3,0.5352112676056338,0.9932500000000007
72,-5,0.5277777777777778,0.9931500000000008
73,3,0.5342465753424658,0.9930500000000008
74,-5,0.527027027027027,0.9929500000000008
75,1,0.5333333333333333,0.9928500000000008
76,-7,0.5263157894736842,0.9928000000000008
77,3,0.5324675324675324,0.9927500000000008
78,1,0.5384615384615384,0.9927000000000008
79,7,0.5443037974683544,0.9926500000000008
80,-3,0.5375,0.9925500000000008
81,5,0.5432098765432098,0.9925000000000008
82,4,0.5487804878048781,0.9924500000000008
83,-3,0.5421686746987951,0.9923000000000008
84,-1,0.5357142857142857,0.9922000000000009
85,-7,0.5294117647058824,0.9920500000000009
86,3,0.5348837209302325,0.9919500000000009
87,-5,0.5287356321839081,0.9917500000000009
88,-5,0.5227272727272727,0.9917000000000009
