Episode,Score,Win %
1,10,1.0
2,10,1.0
3,-8,0.6666666666666666
4,-6,0.5
5,8,0.6
6,8,0.6666666666666666
7,-6,0.5714285714285714
8,-6,0.5
9,-6,0.4444444444444444
10,-6,0.4
11,-6,0.36363636363636365
12,8,0.4166666666666667
13,-6,0.38461538461538464
14,12,0.42857142857142855
15,18,0.4666666666666667
16,-10,0.4375
17,12,0.47058823529411764
18,-15,0.4444444444444444
19,14,0.47368421052631576
20,9,0.5
21,12,0.5238095238095238
22,6,0.5454545454545454
23,-9,0.5217391304347826
24,-8,0.5
25,-11,0.48
26,10,0.5
27,-12,0.48148148148148145
28,-6,0.4642857142857143
29,-12,0.4482758620689655
30,6,0.4666666666666667
31,6,0.4838709677419355
32,6,0.5
33,-12,0.48484848484848486
34,8,0.5
35,-7,0.4857142857142857
36,6,0.5
37,-10,0.4864864864864865
38,-8,0.47368421052631576
39,11,0.48717948717948717
40,11,0.5
41,10,0.5121951219512195
42,12,0.5238095238095238
43,-9,0.5116279069767442
44,12,0.5227272727272727
45,6,0.5333333333333333
46,-6,0.5217391304347826
47,8,0.5319148936170213
48,12,0.5416666666666666
49,16,0.5510204081632653
50,12,0.56
51,-11,0.5490196078431373
52,-5,0.5384615384615384
53,-11,0.5283018867924528
54,9,0.5370370370370371
55,-10,0.5272727272727272
56,10,0.5357142857142857
57,10,0.543859649122807
58,8,0.5517241379310345
59,8,0.559322033898305
60,-10,0.55
61,-6,0.5409836065573771
62,10,0.5483870967741935
63,12,0.5555555555555556
64,-9,0.546875
65,6,0.5538461538461539
66,16,0.5606060606060606
67,-6,0.5522388059701493
68,15,0.5588235294117647
69,10,0.5652173913043478
70,-6,0.5571428571428572
71,15,0.5633802816901409
72,8,0.5694444444444444
73,14,0.5753424657534246
74,10,0.581081081081081
75,12,0.5866666666666667
76,-8,0.5789473684210527
77,12,0.5844155844155844
78,-8,0.5769230769230769
79,-6,0.569620253164557
80,14,0.575
81,-9,0.5679012345679012
82,6,0.573170731707317
83,6,0.5783132530120482
84,6,0.5833333333333334
85,8,0.5882352941176471
86,8,0.5930232558139535
87,8,0.5977011494252874
88,-12,0.5909090909090909
89,8,0.5955056179775281
90,-6,0.5888888888888889
91,14,0.5934065934065934
92,-6,0.5869565217391305
93,11,0.5913978494623656
94,-10,0.5851063829787234
95,-6,0.5789473684210527
96,-6,0.5729166666666666
97,8,0.5773195876288659
98,10,0.5816326530612245
99,-8,0.5757575757575758
100,10,0.58
101,8,0.5841584158415841
102,10,0.5882352941176471
103,8,0.5922330097087378
104,-9,0.5865384615384616
105,8,0.5904761904761905
106,10,0.5943396226415094
107,-8,0.5887850467289719
108,-10,0.5833333333333334
109,8,0.5871559633027523
110,8,0.5909090909090909
111,6,0.5945945945945946
112,16,0.5982142857142857
113,12,0.6017699115044248
114,-10,0.5964912280701754
115,10,0.6
116,10,0.603448275862069
117,12,0.6068376068376068
118,11,0.6101694915254238
119,6,0.6134453781512605
120,-6,0.6083333333333333
121,-12,0.6033057851239669
122,12,0.6065573770491803
123,8,0.6097560975609756
124,10,0.6129032258064516
125,-10,0.608
126,12,0.6111111111111112
127,10,0.6141732283464567
128,-8,0.609375
129,-8,0.6046511627906976
130,-10,0.6
131,10,0.6030534351145038
132,6,0.6060606060606061
133,10,0.6090225563909775
134,9,0.6119402985074627
135,-9,0.6074074074074074
136,10,0.6102941176470589
137,10,0.6131386861313869
138,-9,0.6086956521739131
139,-6,0.60431654676259
140,8,0.6071428571428571
141,-6,0.6028368794326241
